Cohort,Year,Study_institution,
1995,1996,BB009,
1995,1997,CC022,past
1995,1998,DC006,past
1995,1998,DC014,current
1995,1999,EC016,
1995,2000,FC017,
1995,2001,GCB002,
1995,2002,HCA016,
1995,2003,ICA016,
1995,2004,JCA016,
1995,2005,KCA016A,
1995,2006,LCA016A,
1998,2000,CC002,
1998,2001,DC020,
1998,2002,EC2A010,
1998,2003,FCA016,
1998,2004,GCA016,
1998,2005,HCA016A,
1998,2006,ICA016A,
1998,2007,JCA016,
1998,2008,KCA016,
1998,2009,LCA016,
2003,2004,LBCA10,
2003,2005,LCCA16,
2003,2006,LDCA16,
2003,2007,LECA016,
2003,2008,LFCA016,
2003,2009,LGCA016,
2003,2010,LHCA016,
2003,2011,LICA016,
2003,2012,LJCA016,
2003,2013,LKCA016,
2006,2007,LBCA010,
2006,2008,LCCA016,
2006,2009,LDCA016,
2006,2010,LECA016,
2006,2011,LFCA016,
2006,2012,LGCA016,
2006,2013,LHCA016,
2006,2014,LICA016,
2006,2015,LJCA016,
2006,2016,LKCA016,
2009,2010,LBCA010,
2009,2011,LCCA016,
2009,2012,LDCA016,
2009,2013,LECA016,
2009,2014,LFCA016,
2009,2015,LGCA016,
2009,2016,LHCA016,
2009,2017,LICA016,
